l1_name,brand_a,brand_b,distance,similarity,oh_a,oh_b,lwu_a,lwu_b,price_a,price_b
3115-MISSES BETTER SPORTSWEAR,CARMEN MARC VALVO,TOMMY HILFIGER,0.1712,0.8538,92,67,1,12,14.99,14.2
3720-HARDLINES,IHOME,MVMT,0.1714,0.8537,51,49,25,9,5.11,5.72
3110-MISSES SPORTSWEAR,CABLE __IA_CHAR_13 GAUGE,KISS __IA_CHAR_13 FLY,0.1727,0.8528,62,46,2,216,11.99,12.18
3130-JUNIORS,BILLABONG,JUICY COUTURE,0.1727,0.8528,274,237,1,41,19.76,19.3
3140-LADIES SPORTS,APANA,DAISY FUENTES,0.1731,0.8524,39,30,68,165,14.16,14.67
3325-MENS OUTDOOR,DAKINE,SCALES,0.1733,0.8523,383,269,89,140,15.91,15.84
3130-JUNIORS,JUICY COUTURE,LEVI__IA_CHAR_01S,0.1735,0.8522,237,185,41,29,19.3,19.31
3340-MENS FURN-ACC,AEROPOSTALE,SKECHERS,0.1735,0.8521,63,61,39,7,12.55,12.77
3110-MISSES SPORTSWEAR,CASEY KEY,GLORIA LANCE,0.1741,0.8517,30,30,452,679,12.31,12.46
3140-LADIES SPORTS,BALANCE COLLECTION,WILD FOX,0.1743,0.8516,118,71,3,1,16.32,16.99
3620-HOUSEWARES,BROOKSTONE,DOLLY PARTON,0.1745,0.8514,26,12,11,14,5.93,4.66
3125-PETITES SPORTSWEAR,LOVE POTION,SJS,0.1764,0.85,17,33,212,201,10.57,11.09
3165-HANDBAGS,ANNELIESE,EMPERIA,0.1776,0.8492,29,19,48,9,19.96,21.02
3150-LINGERIE,HURLEY,MARILYN MONROE,0.1781,0.8488,69,100,528,599,12.63,12.93
3430-CHILDRENS ACCESS,DISNEY PRINCESS,LILI GAUFRETTE,0.1786,0.8485,52,72,53,195,11.38,11.44
3110-MISSES SPORTSWEAR,CASEY KEY,KISS __IA_CHAR_13 FLY,0.1794,0.8479,30,46,452,216,12.31,12.18
3740-PET,POM,SCOOCHIE PET PRODUCTS,0.1797,0.8477,38,38,196,164,9.73,8.43
3115-MISSES BETTER SPORTSWEAR,CARMEN MARC VALVO,Z SUPPLY,0.1805,0.8471,92,44,1,1,14.99,14.25
3620-HOUSEWARES,MEDICI,SPECTRUM,0.1807,0.8469,35,43,46,28,12.44,11.02
3325-MENS OUTDOOR,ANGLR,NAUTICA,0.1809,0.8468,449,457,27,21,15.92,16.45
3110-MISSES SPORTSWEAR,KISS __IA_CHAR_13 FLY,RIO AND REIN,0.1811,0.8467,46,48,216,74,12.18,12.54
3110-MISSES SPORTSWEAR,COCOMO,KAKTUS,0.1812,0.8466,80,87,57,87,12.33,11.88
3430-CHILDRENS ACCESS,SALT LIFE,SONIC,0.1813,0.8465,78,37,71,117,10.56,10.24
3420-BABY,POP YUM,STITCH,0.1824,0.8457,29,36,11,5,9.82,10.36
3110-MISSES SPORTSWEAR,KISS __IA_CHAR_13 FLY,MARISSA OLIVIA,0.1827,0.8456,46,6,216,2,12.18,11.99
3620-HOUSEWARES,FIT __IA_CHAR_13 FRESH,SPECTRUM,0.1827,0.8455,28,43,7,28,12.09,11.02
3620-HOUSEWARES,EMERIL,MARTHA STEWART EVERYDAY,0.1829,0.8454,47,34,99,64,6.59,7.17
3110-MISSES SPORTSWEAR,CURVE APPEAL,TRIBAL,0.1832,0.8452,64,135,10,1,15.83,16.18
3110-MISSES SPORTSWEAR,ABOVE __IA_CHAR_13 BEYOND,KAY UNGER,0.1844,0.8443,14,11,232,106,12.99,12.6
3110-MISSES SPORTSWEAR,CYRUS,SEVEN7,0.1846,0.8442,231,149,182,89,14.83,14.56
3160-ACCESSORIES,CIRCUS BY SAM EDELMAN,JESSICA CARLYLE,0.1855,0.8435,106,109,8,12,9.87,9.23
